Code,Product,Ordered,Qty,RSP,Price,Tax,Value
19978A,Sojade Blueberry Soya Yoghurt (Org) 6x150g,0/2,0/2,1.72,7.37,0,2.46
22742A,Sojade Vanilla Soya Yoghurt (Org) 6x400g,0/2,0/2,3.37,14.44,0,4.81
39156A,Sonnentor Turmeric Ground (Org) 6x40g,1/0,1/0,2.54,10.87,0,10.87
39157A,Sonnentor Cinnamon Ceylon Ground (Org) 6x40g,1/0,1/0,2.54,10.87,0,10.87
39187A,Sonnentor Cloves Whole (Org) 6x35g,1/0,1/0,3.02,12.96,0,12.96
40739A,Sonnentor Thyme (Org) 6x25g,1/0,1/0,2.29,9.83,0,9.83
40741A,Sonnentor Dill (Org) 6x15g,1/0,1/0,2.54,10.87,0,10.87
40746A,Sonnentor Mustard Seeds Yellow (Org) 6x120g,1/0,1/0,2.54,10.87,0,10.87
40751A,Sonnentor Garlic Granules (Org) 6x40g,1/0,1/0,2.54,10.87,0,10.87
40992A,Sonnentor Viennese Espresso Beans KILO (Org) 1x1kg,2,2,38.91,27.79,0,55.58
41285A,Sonnentor Curry Sweet (Org) 6x50g,1/0,1/0,3.31,14.19,0,14.19
46712A,Sonnentor Roasted Dandelion Root (Org) Temp Un 3x75g,1/0,1/0,9.66,20.7,0,20.7
33335A,SynerChi Ginger & Lemongrass (Org) 1x330ml,5,5,3.32,1.54,1.78,7.72
33336A,SynerChi Oranges & Lemon (Org) 1x330ml,1,1,3.32,1.54,0.35,1.54
45357B,Together Health OceanPure Magnesium 1x30Caps,2,2,8.38,4.92,1.33,9.85
45361B,Together Health Wholeherb KSM-66 Ashwagandha 1x30Caps,3,3,13.42,7.88,3.19,23.64
46384B,Together Health Bone Aid 1x60Caps,1,1,16.22,7.62,1.03,7.62
36783A,True Natural GoodneCsacao Nibs (Org) 1x125g,3,3,6.84,4.89,0,14.66
36785A,True Natural GoodneCsacao Powder (Org) 1x120g,3,3,5.23,3.74,0,11.22
36786A,True Natural GoodneCsacao Powder (Org) 1x220g,5,5,8.14,5.81,0,29.06
37964A,True Natural GoodneHsemp Seeds Shelled (Org) 1x250g,3,3,6.36,4.54,0,13.63
46574A,True Natural GoodneRsice Protein (Org) 1x250g,2,2,8.09,5.09,1.37,10.18
51053A,True Natural GoodneCshocolate Whey Protein (Org) 1x250g,2,2,14.28,8.99,2.43,17.97
50435A,Ucha Kombucha Rapberry Kombucha (Org) 1x350ml,8,8,3,1.74,3.2,13.92
