Filename,Code,Product,Ordered,Qty,Ordered_Cases,Ordered_Units,Delivered_Cases,Delivered_Units,Case_Size,Total_Ordered_Units,Total_Delivered_Units,RSP,Price,Unit_Cost,Tax,Value,Price_Valid,Calc_Method,Expected_Value
Invoice(27).pdf,50793A,Montezumas Dark Choc Buttons 74% (Org) 8x120g,1/0,1/0,1.0,0.0,1.0,0.0,8,8.0,8.0,7.14,33.17,4.15,7.63,33.17,✓,,
Invoice(27).pdf,43581B,Natracare Panty Liner Normal Wrapped 10x18s,1/0,1/0,1.0,0.0,1.0,0.0,10,10.0,10.0,2.94,19.61,1.96,0.00,19.61,✓,,
Invoice(27).pdf,12842A,Natural Cool Green Beans (Org) 8x450g,0/2,0/2,0.0,2.0,0.0,2.0,8,2.0,2.0,2.89,16.50,2.06,0.00,4.13,✓,,
Invoice(27).pdf,12844A,Natural Cool Leaf Spinach (Org) 8x450g,0/2,0/2,0.0,2.0,0.0,2.0,8,2.0,2.0,2.96,16.90,2.11,0.00,4.22,✓,,
Invoice(27).pdf,12845A,Natural Cool Peas Demeter 8x450g,1/0,1/0,1.0,0.0,1.0,0.0,8,8.0,8.0,3.97,22.70,2.84,0.00,22.70,✓,,
Invoice(27).pdf,20651A,Natural Cool Raspberries (Org) 10x300g,0/4,0/4,0.0,4.0,0.0,4.0,10,4.0,4.0,5.98,42.74,4.27,0.00,17.09,✓,,
Invoice(27).pdf,20652A,Natural Cool Sour Cherries (Org) 10x300g,0/6,0/6,0.0,6.0,0.0,6.0,10,6.0,6.0,4.60,32.84,3.28,0.00,19.70,✓,,
Invoice(27).pdf,44770A,Natural Cool Blackberries (Org) 10x300g,0/1,0/1,0.0,1.0,0.0,1.0,10,1.0,1.0,4.83,34.49,3.45,0.00,3.45,✓,,
Invoice(27).pdf,51013A,Natural Cool Fries Crinkle Cut (Org) 12x600g,0/6,0/6,0.0,6.0,0.0,6.0,12,6.0,6.0,4.39,37.62,3.13,0.00,18.81,✓,,
Invoice(27).pdf,48034A,Naturli Vegan Butter Spreadable GF (Org) 16x450g,0/2,0/2,0.0,2.0,0.0,2.0,16,2.0,2.0,5.17,59.07,3.69,0.00,7.38,✓,,
Invoice(27).pdf,10947A,Nielsen Massey Vanilla Extract (Org) Madagascan 1x118ml,2,2,0,2.0,0,2.0,1,2.0,2.0,25.61,18.29,18.29,0.00,36.59,✓,,
Invoice(27).pdf,10948A,Nielsen Massey Vanilla Extract (Org) Madagascan 1x60ml,3,3,0,3.0,0,3.0,1,3.0,3.0,13.62,9.73,9.73,0.00,29.19,✓,,
Invoice(27).pdf,50976B,Ocean Saver Laundry EcoSheets Bio 1x60Sheets,3,3,0,3.0,0,3.0,1,3.0,3.0,17.75,7.70,7.70,5.31,23.10,✓,,
Invoice(27).pdf,40671A,Ombar Raw Cacao 72% (Org) 10x70g,1/0,1/0,1.0,0.0,1.0,0.0,10,10.0,10.0,4.84,28.12,2.81,6.47,28.12,✓,,
Invoice(27).pdf,14194B,Optibac For Everyday 30s (now one a day) 1x30Pce,2,2,0,2.0,0,2.0,1,2.0,2.0,19.81,11.63,11.63,3.14,23.27,✓,,
Invoice(27).pdf,36158B,ProVen Probiotics A-Z Multivitamin & Mineral w CQ10 (C 1x30caps,4,4,0,4.0,0,4.0,1,4.0,4.0,8.83,5.19,5.19,2.80,20.75,✓,,
Invoice(27).pdf,17585A,Pukka Herbs Three Ginger Tea (Org) 4x20Bags,1/0,1/0,1.0,0.0,1.0,0.0,4,4.0,4.0,4.42,10.11,2.53,0.00,10.11,✓,,
Invoice(27).pdf,49256A,Rabenhorst Healthy Blood Pressure Juice (Org) 6x750ml,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,5.44,15.18,2.53,3.49,15.18,✓,,
Invoice(27).pdf,50674A,Rabenhorst Pomegranate Juice (Org) 6x750ml,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,10.20,28.42,4.74,6.54,28.42,✓,,
Invoice(27).pdf,44805B,Roll It Pastry Shortcrust Pastry - Gluten Free 1x400g,2,2,0,2.0,0,2.0,1,2.0,2.0,10.23,6.44,6.44,1.74,12.87,✓,,
Invoice(27).pdf,50222B,Salt of the Earth Clary Sage & Mint 1x75ml,2,2,0,2.0,0,2.0,1,2.0,2.0,9.41,5.10,5.10,2.35,10.20,✓,,
Invoice(27).pdf,41083A,Sambazon Original Acai Pack (Org) 1x(4x100g),4,4,0,4.0,0,4.0,4,4.0,4.0,7.55,5.39,5.39,0.00,21.57,✓,,
Invoice(27).pdf,48027A,Sambazon Acai Scoopable (Org) 1x500ml,10,10,0,10.0,0,10.0,1,10.0,10.0,8.48,4.92,4.92,11.33,49.24,✓,,
Invoice(27).pdf,45445B,Shines of Killybegs Wild Irish Sardines in Olive Oil 1x106g,3,3,0,3.0,0,3.0,1,3.0,3.0,3.27,2.33,2.33,0.00,7.00,✓,,
Invoice(27).pdf,50757B,Shines of Killybegs Irish Mackerel in Brine 1x125g,1,1,0,1.0,0,1.0,1,1.0,1.0,3.15,2.25,2.25,0.00,2.25,✓,,
Invoice(27).pdf,39157A,Sonnentor Cinnamon Ceylon Ground (Org) 6x40g,3/0,3/0,3.0,0.0,3.0,0.0,6,18.0,18.0,2.45,10.48,1.75,0.00,31.44,✓,,
Invoice(27).pdf,39205A,Sonnentor Garam Masala Spice Blend (Org) 6x55g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.87,16.60,2.77,0.00,16.60,✓,,
Invoice(27).pdf,40739A,Sonnentor Thyme (Org) 6x25g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,2.29,9.83,1.64,0.00,9.83,✓,,
Invoice(27).pdf,40928A,Sonnentor Bloomy Turmeric Tea (Org) 6x18Bags,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,4.01,17.19,2.87,0.00,17.19,✓,,
Invoice(27).pdf,40992A,Sonnentor Viennese Espresso Beans KILO (Org) 1x1kg,2,2,0,2.0,0,2.0,1,2.0,2.0,38.91,27.79,27.79,0.00,55.58,✓,,
Invoice(27).pdf,41285A,Sonnentor Curry Sweet (Org) 6x50g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.31,14.19,2.36,0.00,14.19,✓,,
Invoice(27).pdf,42027A,Sonnentor Mixed Spice(Granny's Spice Mix)(Org) 6x40g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.87,16.60,2.77,0.00,16.60,✓,,
Invoice(27).pdf,47473A,Sonnentor Potato Spice Mix (Org) 6x25g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.69,15.82,2.64,0.00,15.82,✓,,
Invoice(27).pdf,33335A,SynerChi Ginger & Lemongrass (Org) 1x330ml,12,12,0,12.0,0,12.0,1,12.0,12.0,3.32,1.54,1.54,4.26,18.53,✓,,
Invoice(27).pdf,33336A,SynerChi Oranges & Lemon (Org) 1x330ml,6,6,0,6.0,0,6.0,1,6.0,6.0,3.32,1.54,1.54,2.13,9.27,✓,,
Invoice(27).pdf,33337A,SynerChi Original Sencha Tea (Org) 1x330ml,3,3,0,3.0,0,3.0,1,3.0,3.0,3.32,1.54,1.54,1.06,4.63,✓,,
Invoice(27).pdf,33338A,SynerChi Raspberry & Rosehip (Org) 1x330ml,12,12,0,12.0,0,12.0,1,12.0,12.0,3.32,1.54,1.54,4.26,18.53,✓,,
Invoice(27).pdf,14170A,Taifun Tofu Fillets Japanese Style GF (Org) 8x160g,0/1,0/1,0.0,1.0,0.0,1.0,8,1.0,1.0,4.50,25.70,3.21,0.00,3.21,✓,,
Invoice(27).pdf,38903A,Taifun FeTo Natural (Org) Fermented 6x200g,0/3,0/3,0.0,3.0,0.0,3.0,6,3.0,3.0,5.37,23.00,3.83,0.00,11.50,✓,,
Invoice(27).pdf,45357B,Together Health OceanPure Magnesium 1x30Caps,6,6,0,6.0,0,6.0,1,6.0,6.0,8.38,3.94,3.94,3.19,23.63,✓,,
Invoice(27).pdf,46385A,Together Health Mushroom B12 1x30Caps,1,1,0,1.0,0,1.0,1,1.0,1.0,11.19,5.26,5.26,0.71,5.26,✓,,
Invoice(27).pdf,49836A,Together Health Lion's Mane Mushroom (Org) 1x60caps,2,2,0,2.0,0,2.0,1,2.0,2.0,31.32,14.72,14.72,3.97,29.44,✓,,
