Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,SourcePDF
5005231,1,1,6,240 gram,"Fruit-spread fig orange, Mont BlaBnicologisch NL",2.77,4.69,16.62,Order_4191827.pdf
5005292,2,2,1,5 litre,"Mineral-water non-carbonated, naNtiuetr-aalg, rMaroisnchtcalm FR 313",2.24,3.99,4.48,Order_4191827.pdf
5005595,1,1,12,54 gram,"Instant-vegetable-soup 1 cup, NaBtuiorl oCgiosmchpa.gnie DE",1.40,2.49,16.80,Order_4191827.pdf
5005616,1,1,12,100 gram,"Potato-chips fried in olive oil, TraBfoiologisch NL",1.89,3.29,22.68,Order_4191827.pdf
5005660,1,1,12,50 gram,"Fruit&nut-bite vanilla berries, RAWBio.BloIgTisEch NL",1.58,2.79,18.96,Order_4191827.pdf
5005679,1,1,6,500 gram,"Oat-bran, Havermoutje+De HalmBiologisch NL",2.44,4.19,14.64,Order_4191827.pdf
5005721,1,1,3,40 gram,"Cumin-seeds ground, Cook Biologisch FR",2.48,4.39,7.44,Order_4191827.pdf
5005722,1,1,3,35 gram,"Turmeric ground, Cook Biologisch FR",1.61,2.99,4.83,Order_4191827.pdf
5005834,1,1,6,750 millilitre,"Olive-Oil extra virgin unfiltered, Il BCioalosgoilsacrhe IT",9.60,16.99,57.60,Order_4191827.pdf
5005880,1,1,8,70 gram,"RAW-Chocolate sweet nibs & seBaisoaloltg,i sLcohvechock NL",3.53,5.99,28.24,Order_4191827.pdf
5005912,1,1,12,160 millilitre,"Coconut-cream Thai, ONOFF Biologisch NL",1.26,2.11,15.12,Order_4191827.pdf
5005947,1,1,6,350 gram,"Mugi-miso, TerraSana Biologisch JP",4.45,7.99,26.70,Order_4191827.pdf
5006460,1,1,6,750 millilitre,"Orange-juice, Schulp Biologisch NL",3.12,5.59,18.72,Order_4191827.pdf
5006625,1,1,1,250 gram,"Acacia-honey squeeze bottle, DeB Tiorlaogaiysch NL",4.20,7.29,4.20,Order_4191827.pdf
5006829,1,1,6,400 millilitre,"Coconut-milk, TerraSana Biologisch LK",1.92,3.49,11.52,Order_4191827.pdf
5006850,1,1,1,300 millilitre,"Sake, TerraSana Biologisch JP",8.14,15.29,8.14,Order_4191827.pdf
5006867,1,1,6,250 gram,"Egg noodles, Yakso Biologisch NL",1.39,2.28,8.34,Order_4191827.pdf
5006896,1,1,6,500 gram,"3-Mix cashew-hazel-almond, TerrBaioSloagnisach NL",7.29,12.99,43.74,Order_4191827.pdf
5006938,1,1,6,340 gram,"Raspberry-jam, Bionova Biologisch NL",3.02,5.29,18.12,Order_4191827.pdf
