Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,Calculated_Total,Validation_Status,SourcePDF
6000467,1,1,12,60 millilitre,"Shot Ginger, Frankly Biologisch DK",0.93,1.99,11.16,11.16,PASS,Order_4294423.pdf
6000668,1,1,10,250 gram,"Tartelettes bianca hazelnut, NoccBiioollaotgaisch BE",2.43,4.29,24.30,24.30,PASS,Order_4294423.pdf
6000735,1,1,6,90 gram,"Vegetable-chips mixed varieties, BGiooloPguisrceh NL",1.52,2.69,9.12,9.12,PASS,Order_4294423.pdf
6000954,2,2,1,8 millilitre,"Skin food lip balm, Weleda Non-food NL",2.36,4.11,4.72,4.72,PASS,Order_4294423.pdf
6001152,2,2,1,20 pc,"Floss sticks bamboo handle, HydNroonp-hfoilod NL",2.66,5.49,5.32,5.32,PASS,Order_4294423.pdf
6001164,1,1,1,250 millilitre,"Rosemary Shampoo, Weleda Non-food NL",5.42,9.99,5.42,5.42,PASS,Order_4294423.pdf
6001384,4,4,12,150 gram,"Cooking chocolate dark, Vivani Biologisch DE",3.48,5.99,167.04,167.04,PASS,Order_4294423.pdf
6001441,2,2,1,200 millilitre,"Skin food shower creme, WeledaNon-food NL",4.06,7.49,8.12,8.12,PASS,Order_4294423.pdf
6001506,1,1,10,80 gram,"Chocolate bar fine dark orange 7B0 i%olo cgaisccaho, Vivani DE",1.93,3.49,19.30,19.30,PASS,Order_4294423.pdf
6001557,4,4,1,425 gram,"Pita wheat large, TerraSana Biologisch NL",2.28,3.59,9.12,9.12,PASS,Order_4294423.pdf
6001562,1,1,10,125 gram,"Chips Salt & Balsamic Vinegar, GBoioPlougrisech NL",1.36,2.49,13.60,13.60,PASS,Order_4294423.pdf
6001768,1,1,6,280 gram,"Curry ketchup, Dapp Biologisch NL",2.17,3.89,13.02,13.02,PASS,Order_4294423.pdf
6001815,1,1,12,1 pc,"Baking paper, If You Care Non-food NL",3.23,6.19,38.76,38.76,PASS,Order_4294423.pdf
48880,8,6,1,2 pc,"Bratwurst lemon & thyme, BrandtB &io loLgeivscieh NL",3.37,6.39,20.22,20.22,PASS,Order_4295657.pdf
1010,6,6,1,125 gram,"Goat-cheese fresh-natural 50+, BBaiosltoiagiasnchsen NL",2.20,3.99,13.20,13.20,PASS,Order_4295657.pdf
