Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total
5014854,1,1,12,330 millilitre,"Gingershot tumeric chili, Frankly Biologisch DK",2.46,5.59,29.52
5015220,1,1,8,200 gram,"Baquettini rustic gluten free, SchnBiitozloegrisch NL",1.87,3.19,14.96
5015222,4,4,1,400 gram,"Bread'n-Toast white gluten free, SBicohlongiitszcehr NL",3.05,5.39,12.2
5015268,1,1,6,350 gram,"Curry-sauce Indian korma, TerraSBiaonloagisch NL",2.44,4.29,14.64
5015564,2,2,1,300 gram,"Collagen beef, grass-fed, MattissNoinet-biologisch NL",13.14,23.95,26.28
5016067,1,1,6,200 gram,"Cocoa-paste original, No Sugar DBaiodlodgieissch NL",3.6,6.39,21.6
5016180,1,1,1,"1,000 pc","Stirrer wood, Paardekooper Non-food CN",3.8,5.99,3.8
5016241,1,1,6,250 gram,"Hazelnut-spread crunchy, NoccioBlaiotlaogisch IT",2.89,4.99,17.34
5016245,1,1,6,650 gram,"Cocoa-hazelnut-paste, NocciolataBiologisch IT",5.7,9.99,34.2
5016266,1,1,12,330 millilitre,"Water-kefir hibiscus & black curraBniotl olegaisfc,h Kéfir Eau VBeErtueuse",1.51,2.69,18.12
5016389,1,1,6,30 pc,"Dishwasher-tablets all-in-one, YoNkounu-food BE",6.22,12.19,37.32
5016505,1,1,12,400 millilitre,"Kombucha peach, The Gutsy CaBpitoaliongisch NL10046",1.58,2.89,18.96
5016585,1,1,6,8 pc,"Toilet-paper 3-layer, Grazie NatuNraiel t-agrarisch IT",1.86,2.99,11.16
5016590,1,1,1,1 pc,"Frying-pan 20 cm ECO-OK, TVSNon-food NL",28.19,54.99,28.19
5016711,1,1,6,150 gram,"Brazil-nuts, Horizon Biologisch NL",4.98,8.99,29.88
5016715,1,1,6,125 gram,"Walnuts, Horizon Biologisch NL",2.05,3.69,12.3
5016754,1,1,6,100 gram,"Mango disks, Horizon Biologisch NL",2.71,4.99,16.26
5016770,1,1,12,100 gram,"Macadamia-nuts salted, Horizon Biologisch NL",3.32,5.99,39.84
5016803,1,1,8,75 gram,"Corn-flips peanut, Trafo Biologisch NL",1.01,1.79,8.08
5016969,4,4,6,1 litre,"Oatmeal barista, Oatly Biologisch NL",1.71,2.99,41.04
5016989,1,1,6,150 gram,"Black-pepper, Cook Biologisch FR",4.78,8.49,28.68
5017110,1,1,7,100 gram,"Squeeze-bag quinoa apple, LoveBmioalodgeisch DK",0.93,1.48,6.51
5017200,1,1,6,3 pc,"Candle dinner ribbed ivory, BrassNikoana-forsoedn NL",7.37,13.99,44.22
5017298,1,1,6,750 gram,"Muesli chocolate hazelnut krunchByio, lBogairsnchhouse DE",4.65,8.39,27.9
5018580,1,1,10,50 gram,"Chocolate strawberry, LandgartenBiologisch AT",1.77,3.09,17.7
5018612,1,1,12,750 millilitre,"Mineral-water carbonic acid, lemoBnio,l oLgaisncdhpark Bio-quNeLlle 313",0.85,1.49,10.2
5018793,1,1,6,100 gram,"Marshmallow chocolate, Belvas Biologisch BE",2.79,4.99,16.74
5018863,1,1,6,32 pc,"Wash-Strips, The Good Brand Niet-biologisch IT",3.75,7.49,22.5
6000002,1,1,6,130 gram,"Chai-latte mix, Chikko Not CoffeeBiologisch NL",4.22,7.49,25.32
6000074,1,1,14,100 gram,"Fruit-snack apple-pear apricot, BBei oPlolugsisch NL",0.84,1.49,11.76
6000466,1,1,12,60 millilitre,"Shot Turmeric ginger chili, FrankBlyiologisch DK",0.93,1.99,11.16
6000467,1,1,12,60 millilitre,"Shot Ginger, Frankly Biologisch DK",0.93,1.99,11.16
6000668,1,1,10,250 gram,"Tartelettes bianca hazelnut, NoccBiioollaotgaisch BE",2.43,4.29,24.3
6000735,1,1,6,90 gram,"Vegetable-chips mixed varieties, BGiooloPguisrceh NL",1.52,2.69,9.12
6000954,2,2,1,8 millilitre,"Skin food lip balm, Weleda Non-food NL",2.36,4.11,4.72
6001152,2,2,1,20 pc,"Floss sticks bamboo handle, HydNroonp-hfoilod NL",2.66,5.49,5.32
6001164,1,1,1,250 millilitre,"Rosemary Shampoo, Weleda Non-food NL",5.42,9.99,5.42
6001384,4,4,12,150 gram,"Cooking chocolate dark, Vivani Biologisch DE",3.48,5.99,167.04
6001441,2,2,1,200 millilitre,"Skin food shower creme, WeledaNon-food NL",4.06,7.49,8.12
6001506,1,1,10,80 gram,"Chocolate bar fine dark orange 7B0 i%olo cgaisccaho, Vivani DE",1.93,3.49,19.3
6001557,4,4,1,425 gram,"Pita wheat large, TerraSana Biologisch NL",2.28,3.59,9.12
6001562,1,1,10,125 gram,"Chips Salt & Balsamic Vinegar, GBoioPlougrisech NL",1.36,2.49,13.6
6001768,1,1,6,280 gram,"Curry ketchup, Dapp Biologisch NL",2.17,3.89,13.02
6001815,1,1,12,1 pc,"Baking paper, If You Care Non-food NL",3.23,6.19,38.76
48880,8,6,1,2 pc,"Bratwurst lemon & thyme, BrandtB &io loLgeivscieh NL",3.37,6.39,20.22
1010,6,6,1,125 gram,"Goat-cheese fresh-natural 50+, BBaiosltoiagiasnchsen NL",2.2,3.99,13.2
1031,2,2,1,500 millilitre,"Goat-yogurt full, Vliek Biologisch NL",1.2,2.19,2.4
1118,24,24,1,1 litre,"Yogurt full, Weerribben Zuivel Biologisch NL",1.52,2.55,36.48
1161,4,4,1,100 gram,"Mozzarella 45+, Züger Biologisch CH",0.9,2.39,3.6
1178,7,7,1,100 gram,"Mozzarella 45+ lactose free, ZügBeirologisch CH",1.07,2.89,7.49
1216,4,4,1,500 millilitre,"Sheep-yogurt, Weerribben SchapBeionlozguiisvcehl NL",2.04,3.49,8.16
1244,3,3,1,500 gram,"Biodynamic Full-fat Quark, ZuiveBr iZo-uDivyenal misch NL",2.09,2.99,6.27
1298,4,4,1,200 gram,"Lasagna-sheets fresh, Bio-VerdeBiologisch DE",1.74,2.99,6.96
1717,2,2,1,250 gram,"Ravioli 4 fromages vers, Bio-VerdBeiologisch DE",2.87,4.59,5.74
1720,2,2,1,250 gram,"Ravioli ricotta and arugula fresh, BBioiolo-Vgiescrhde DE",2.87,4.59,5.74
1744,4,4,1,400 gram,"Gnocchi original fresh, Bio-VerdeBiologisch DE",2.45,4.29,9.8
1772,3,3,1,250 gram,"Tortelli ricotta and spinach fresh,B Bioiolo-gVisecrhde DE",2.85,4.49,8.55
1850,4,4,1,400 gram,"Soy-yogurt natural unsweetened,B Sioolojagidsech FR",1.34,2.39,5.36
